U_A;I_A;I_E;U_I
266;66;1.75;317.48
271.5;55;1.75;314.4
270;42;1.75;302.76
266;30;1.75;289.4
258;17;1.75;271.26
253.5;12;1.75;262.86
247;0;1.75;247
